Development Name,Borough,Account Name,Location,Meter AMR,Meter Scope,TDS #,EDP,RC Code,Funding Source,AMP #,Vendor Name,UMIS BILL ID,Revenue Month,Service Start Date,Service End Date,# days,Meter Number,Estimated,Current Charges,Rate Class,Bill Analyzed,Consumption (HCF),Water&Sewer Charges,Other Charges,BBL
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 09,AMR,BLD 09,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6901014,6/1/2018 0:00,5/22/2018,6/20/2018,29,E20290493,N         ,128.28,Basic Water and Sewer,Yes,13,$128.28 ,$0.00 ,3048180028
LOWER EAST SIDE REHAB (GROUP 5),MANHATTAN,LOWER EAST SIDE REHAB (GROUP 5),BLD 01,AMR,"BLD 01, STORE 01-03",292,555,M029200,FEDERAL,NY005012920P,NEW YORK CITY WATER BOARD,6902695,6/1/2018 0:00,5/22/2018,6/22/2018,31,G13031843,N         ,10509.31,Basic Water and Sewer,Yes,1065,"$10,509.31 ",$0.00 ,1003890038
FENIMORE-LEFFERTS,BROOKLYN,FENIMORE-LEFFERTS,BLD 01,AMR,BLD 01,205,322,K020500,FEDERAL,NY005011670P,NEW YORK CITY WATER BOARD,6902374,6/1/2018 0:00,5/24/2018,6/22/2018,29,E22317869,Y         ,207.23,Basic Water and Sewer,Yes,21,$207.23 ,$0.00 ,3048180136
BOULEVARD,BROOKLYN,BOULEVARD,BLD 08,AMR,,46,637,K004600,MIXED FINANCE/LLC2,NY005020460P,NEW YORK CITY WATER BOARD,6921605,6/1/2018 0:00,5/22/2018,6/20/2018,29,G13039449,N         ,0,Basic Water and Sewer,Yes,422,$0.00 ,$0.00 ,3043760001
WASHINGTON HEIGHTS REHAB (GROUPS 1&2),MANHATTAN,WASHINGTON HEIGHTS REHAB (GROUPS 1&2),BLD 02,AMR,,293,563,M029300,FEDERAL,NY005013090P,NEW YORK CITY WATER BOARD,6902265,6/1/2018 0:00,5/24/2018,6/22/2018,29,G15004279,N         ,7193.7,Basic Water and Sewer,Yes,729,"$7,193.70 ",$0.00 ,1021320110
MANHATTANVILLE REHAB (GROUP 2),MANHATTAN,MANHATTANVILLE REHAB (GROUP 2),BLD 03,AMR,STORE 01-02,296,557,M029600,FEDERAL,NY005010810P,NEW YORK CITY WATER BOARD,6902484,6/1/2018 0:00,5/22/2018,6/20/2018,29,K16839989,N         ,1144.68,Basic Water and Sewer,Yes,116,"$1,144.68 ",$0.00 ,1019880031
MARCY AVENUE-GREENE AVENUE SITE B,BROOKLYN,MARCY AVENUE-GREENE AVENUE SITE B,BLD 03,NONE,,358,804,K035800,FEDERAL,NY005013590P,NEW YORK CITY WATER BOARD,6884584,6/1/2018 0:00,5/17/2018,6/18/2018,32,E15220520,N         ,3059.05,Basic Water and Sewer,Yes,310,"$3,059.05 ",$0.00 ,3017980001
SOUTH JAMAICA II,QUEENS,SOUTH JAMAICA II,BLD 23,AMR,BLD 23,66,220,Q006600,FEDERAL,NY005010080P,NEW YORK CITY WATER BOARD,6901908,6/1/2018 0:00,5/22/2018,6/20/2018,29,O77670569,N         ,7677.23,Basic Water and Sewer,Yes,778,"$7,677.23 ",$0.00 ,4121480100
SAMUEL (MHOP) I,MANHATTAN,SAMUEL (MHOP) I,BLD 43,AMR,,389,847,M038900,MHOP,NY005013170P,NEW YORK CITY WATER BOARD,6901387,6/1/2018 0:00,5/22/2018,6/20/2018,29,B35397973,N         ,2328.82,Basic Water and Sewer,Yes,236,"$2,328.82 ",$0.00 ,1020070056
BAISLEY PARK,QUEENS,BAISLEY PARK,BLD 01,AMR,BLD 01,91,240,Q009100,FEDERAL,NY005010910P,NEW YORK CITY WATER BOARD,6901393,6/1/2018 0:00,5/22/2018,6/20/2018,29,E12468790,N         ,7183.83,Basic Water and Sewer,Yes,728,"$7,183.83 ",$0.00 ,4123350044
